temp,p,Result 1,Result 2,Result 3
1.2,1,"

My best guess is 40 minutes.","

My best guess is now 37 minutes.","

My best guess is now 15 minutes."
1.2,1,"

My best guess of the time interval between batches of teacakes would be 45 minutes.","

My new best guess for the time-interval between batches of teacakes would be 37 minutes.","

My new best guess for the time-interval between batches of teacakes would be 25 minutes."
1.2,1,"

I would guess that the time interval is 45 minutes.","

I would now guess that the time interval is 45-60 minutes.","

I would now guess that the time interval is 45-60 minutes."
1.2,1,"

My best guess is that the time interval between batches of teacakes is 40 minutes.","

My best guess is that the time interval between batches of teacakes is 40 minutes.","
My best guess is that the time interval between batches of teacakes is 45 minutes."
1.2,1,"

My best guess is that the time interval between batches of teacakes is 45 minutes."," 

My new best guess is that the time interval between batches of teacakes is 45 minutes.","

My new best guess is that the time interval between batches of teacakes is 45 minutes."
1.2,1,"

My best guess would be that the bakery bakes a new batch of teacakes every 40 minutes.","

My new best guess would be that the bakery bakes a new batch of teacakes every 36 minutes.","

My new best guess would be that the bakery bakes a new batch of teacakes every 30 minutes."
1.2,1,"

My best guess is 45 minutes.","
My new best guess is 45 minutes.","

My new best guess is 45 minutes."
1.2,1,"

My best guess is that the time interval between batches of teacakes is 40 minutes.","

My new best guess is that the time interval between batches of teacakes is 45 minutes.","

My new best guess is that the time interval between batches of teacakes is 45 minutes."
1.2,1,"

My best guess is that batches of teacakes are removed from the oven every 40 minutes.","

My new best guess is that batches of teacakes are removed from the oven every 40 minutes.","
My new best guess is that batches of teacakes are removed from the oven every 45 minutes."
1.2,1,"

My best guess is that the bakery bakes a fresh batch of teacakes every 40 minutes."," Anyway, you can still make an informed estimate based on all the available information. 

My new best guess is that the bakery bakes a fresh batch of teacakes every 35 minutes.","

My new best guess is that the bakery bakes a fresh batch of teacakes every 25 minutes."
1.2,1,"

My best guess is that the time interval between batches of teacakes is 40 minutes.","
 
My new best guess is 38 minutes.","

My new best guess is 36 minutes."
1.2,1,"

My guess is that the time interval between batches of teacakes is 37 minutes.","

My new best guess is that the interval between batches of teacakes is 39 minutes.","

My new best guess is that the interval between batches of teacakes is 43 minutes."
